07.03.2013 10:44:40:892 | WARN | Working!
07.03.2013 10:44:40:892 | INFO | But it's a potential trap.
07.03.2013 10:44:41:423 | CRITICAL | Abandon the ship!
07.03.2013 10:44:41:423 | ERROR | Everything went much worse than expected ...
07.03.2013 10:44:41:438 | WARN | The memory address is: #00c3eb78.
07.03.2013 10:44:41:454 | INFO | Thousand iterations have passed by!
07.03.2013 10:44:41:469 | INFO | Thousand iterations have passed by!
07.03.2013 10:44:41:485 | INFO | Thousand iterations have passed by!
07.03.2013 10:44:41:485 | INFO | Thousand iterations have passed by!
07.03.2013 10:47:46:860 | WARN | Working!
07.03.2013 10:47:46:860 | INFO | But it's a potential trap.
07.03.2013 10:47:47:390 | CRITICAL | Abandon the ship!
07.03.2013 10:47:47:390 | ERROR | Everything went much worse than expected ...
07.03.2013 10:47:47:390 | WARN | The memory address is: #011beb88.
07.03.2013 10:47:47:390 | INFO | Thousand iterations have passed by!
07.03.2013 10:47:47:406 | INFO | Thousand iterations have passed by!
07.03.2013 10:47:47:406 | INFO | Thousand iterations have passed by!
07.03.2013 10:47:47:421 | INFO | Thousand iterations have passed by!
07.03.2013 10:48:07:171 | WARN | Working!
07.03.2013 10:48:07:171 | INFO | But it's a potential trap.
07.03.2013 10:48:07:686 | CRITICAL | Abandon the ship!
07.03.2013 10:48:07:686 | ERROR | Everything went much worse than expected ...
07.03.2013 10:48:07:686 | WARN | The memory address is: #011beb88.
07.03.2013 10:48:07:686 | INFO | Thousand iterations have passed by!
07.03.2013 10:48:07:686 | INFO | Thousand iterations have passed by!
07.03.2013 10:48:07:686 | INFO | Thousand iterations have passed by!
07.03.2013 10:48:07:686 | INFO | Thousand iterations have passed by!
07.03.2013 10:49:35:814 | WARN | Working!
07.03.2013 10:49:35:814 | INFO | But it's a potential trap.
07.03.2013 10:49:36:344 | CRITICAL | Abandon the ship!
07.03.2013 10:49:36:344 | ERROR | Everything went much worse than expected ...
07.03.2013 10:49:36:360 | WARN | The memory address is: #0128eb88.
07.03.2013 10:49:36:391 | INFO | Thousand iterations have passed by!
07.03.2013 10:49:36:407 | INFO | Thousand iterations have passed by!
07.03.2013 10:49:36:438 | INFO | Thousand iterations have passed by!
07.03.2013 10:49:36:453 | INFO | Thousand iterations have passed by!
07.03.2013 10:50:01:586 | CRITICAL | Abandon the ship!
07.03.2013 11:09:01:589 | WARN | Working!
07.03.2013 11:09:01:604 | INFO | But it's a potential trap.
07.03.2013 11:09:02:135 | CRITICAL | Abandon the ship!
07.03.2013 11:09:02:135 | ERROR | Everything went much worse than expected ...
07.03.2013 11:09:02:150 | WARN | The memory address is: #00a2eb90.
07.03.2013 11:09:02:166 | INFO | Thousand iterations have passed by!
07.03.2013 11:09:02:197 | INFO | Thousand iterations have passed by!
07.03.2013 11:09:02:213 | INFO | Thousand iterations have passed by!
07.03.2013 11:09:02:244 | INFO | Thousand iterations have passed by!
07.03.2013 11:09:24:692 | WARN | Working!
07.03.2013 11:09:24:708 | INFO | But it's a potential trap.
07.03.2013 11:09:25:238 | CRITICAL | Abandon the ship!
07.03.2013 11:09:25:254 | ERROR | Everything went much worse than expected ...
07.03.2013 11:09:25:285 | WARN | The memory address is: #00f6eb90.
07.03.2013 11:09:25:316 | INFO | Thousand iterations have passed by!
07.03.2013 11:09:25:348 | INFO | Thousand iterations have passed by!
07.03.2013 11:09:25:363 | INFO | Thousand iterations have passed by!
07.03.2013 11:09:25:394 | INFO | Thousand iterations have passed by!
07.03.2013 11:14:14:456 | WARN | Working!
07.03.2013 11:14:14:456 | INFO | But it's a potential trap.
07.03.2013 11:14:14:986 | CRITICAL | Abandon the ship!
07.03.2013 11:14:14:986 | ERROR | Everything went much worse than expected ...
07.03.2013 11:14:15:2 | WARN | The memory address is: #00daeb90.
07.03.2013 11:14:15:2 | INFO | Thousand iterations have passed by!
07.03.2013 11:14:15:2 | INFO | Thousand iterations have passed by!
07.03.2013 11:14:15:2 | INFO | Thousand iterations have passed by!
07.03.2013 11:14:15:17 | INFO | Thousand iterations have passed by!
07.03.2013 11:14:52:672 | WARN | Working!
07.03.2013 11:14:52:672 | INFO | But it's a potential trap.
